 10/09/1812 Fri 04:35:32  255456ec42 "toward her."
 10/09/1812 Fri 04:36:44  c0deace001 "When they came in to tea, having taken off their outdoor things and"
 10/09/1812 Fri 04:38:04  b6bc4bcb76 "tidied themselves up after their journey, Márya Dmítrievna kissed them"
 10/09/1812 Fri 04:40:17  b18778af53 "all in due order."
 10/09/1812 Fri 04:41:28  a23116a2e9 "“I’m heartily glad you have come and are staying with me. It was"
 10/09/1812 Fri 04:42:23  652472c185 "high time,” she said, giving Natásha a significant look. “The old"
 10/09/1812 Fri 04:44:50  25686ea68d "man is here and his son’s expected any day. You’ll have to make his"
 10/09/1812 Fri 04:46:56  611a436c85 "acquaintance. But we’ll speak of that later on,” she added, glancing"
 10/09/1812 Fri 04:48:50  7f7713abc9 "at Sónya with a look that showed she did not want to speak of it in her"
 10/09/1812 Fri 04:50:22  ef886f30bf "presence. “Now listen,” she said to the count. “What do you want"
 10/09/1812 Fri 04:51:09  b8c0ba3ded "tomorrow? Whom will you send for? Shinshín?” she crooked one of her"
 10/09/1812 Fri 04:52:17  62db8f6402 "fingers. “The sniveling Anna Mikháylovna? That’s two. She’s here"
 10/09/1812 Fri 04:53:00  c0deace001 "with her son. The son is getting married! Then Bezúkhov, eh? He is here"
 10/09/1812 Fri 04:53:51  c32b3a0d46 "too, with his wife. He ran away from her and she came galloping after"
 10/09/1812 Fri 04:54:48  045bc348bd "him. He dined with me on Wednesday. As for them”—and she pointed to"
 10/09/1812 Fri 04:56:05  56d20503b0 "the girls—“tomorrow I’ll take them first to the Iberian shrine"
 10/09/1812 Fri 04:58:16  860175718c "of the Mother of God, and then we’ll drive to the Super-Rogue’s."
 10/09/1812 Fri 04:59:07  79a4c77062 "I suppose you’ll have everything new. Don’t judge by me: sleeves"
 10/09/1812 Fri 05:00:01  a5191ec930 "nowadays are this size! The other day young Princess Irína Vasílevna"
 10/09/1812 Fri 05:01:34  3a03936719 "came to see me; she was an awful sight—looked as if she had put two"
 10/09/1812 Fri 05:03:06  a720b49448 "barrels on her arms. You know not a day passes now without some new"
 10/09/1812 Fri 05:04:05  11597ab242 "fashion.... And what have you to do yourself?” she asked the count"
 10/09/1812 Fri 05:06:10  0fddbe11c7 "sternly."
 10/09/1812 Fri 05:08:02  1651aaaab9 "“One thing has come on top of another: her rags to buy, and now a"
